nume_actiune,timestamp,thread
isCandidat,26-05-2020 19:22:04,19
loadCandidati,26-05-2020 19:22:04,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findFacultate,26-05-2020 19:22:05,19
loadFacultati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
findExamen,26-05-2020 19:22:05,19
loadExamene,26-05-2020 19:22:05,19
loadCandidati,26-05-2020 19:22:05,19
addCandidat,27-05-2020 10:15:15,20
isProfesor,27-05-2020 10:15:39,20
loadProfesori,27-05-2020 10:15:39,20
isProfesor,27-05-2020 10:15:43,20
loadProfesori,27-05-2020 10:15:43,20
findFacultate,27-05-2020 10:15:48,20
loadFacultati,27-05-2020 10:15:48,20
findExamen,27-05-2020 10:15:48,20
loadExamene,27-05-2020 10:15:48,20
loadCandidati,27-05-2020 10:15:48,20
findExamen,27-05-2020 10:15:48,20
loadExamene,27-05-2020 10:15:48,20
loadCandidati,27-05-2020 10:15:48,20
changeCandidat,27-05-2020 10:16:07,20
loadCandidati,27-05-2020 10:16:07,20
findFacultate,27-05-2020 10:16:07,20
loadFacultati,27-05-2020 10:16:07,20
findExamen,27-05-2020 10:16:07,20
loadExamene,27-05-2020 10:16:07,20
loadCandidati,27-05-2020 10:16:07,20
findExamen,27-05-2020 10:16:07,20
loadExamene,27-05-2020 10:16:07,20
loadCandidati,27-05-2020 10:16:07,20
findFacultate,27-05-2020 10:16:07,20
loadFacultati,27-05-2020 10:16:07,20
findExamen,27-05-2020 10:16:07,20
loadExamene,27-05-2020 10:16:07,20
loadCandidati,27-05-2020 10:16:07,20
findExamen,27-05-2020 10:16:07,20
loadExamene,27-05-2020 10:16:07,20
loadCandidati,27-05-2020 10:16:07,20
findFacultate,27-05-2020 10:16:09,20
loadFacultati,27-05-2020 10:16:09,20
findExamen,27-05-2020 10:16:09,20
loadExamene,27-05-2020 10:16:09,20
loadCandidati,27-05-2020 10:16:09,20
findExamen,27-05-2020 10:16:09,20
loadExamene,27-05-2020 10:16:09,20
loadCandidati,27-05-2020 10:16:09,20
isProfesor,27-05-2020 10:21:50,20
loadProfesori,27-05-2020 10:21:50,20
isProfesor,27-05-2020 10:21:55,20
loadProfesori,27-05-2020 10:21:55,20
isProfesor,27-05-2020 10:22:02,20
loadProfesori,27-05-2020 10:22:02,20
isProfesor,27-05-2020 10:22:36,20
loadProfesori,27-05-2020 10:22:36,20
isProfesor,27-05-2020 10:22:45,20
loadProfesori,27-05-2020 10:22:45,20
isProfesor,27-05-2020 10:22:48,20
loadProfesori,27-05-2020 10:22:48,20
isProfesor,27-05-2020 10:22:56,20
loadProfesori,27-05-2020 10:22:56,20
findFacultate,27-05-2020 10:23:02,20
loadFacultati,27-05-2020 10:23:02,20
findExamen,27-05-2020 10:23:02,20
loadExamene,27-05-2020 10:23:02,20
loadCandidati,27-05-2020 10:23:02,20
findExamen,27-05-2020 10:23:02,20
loadExamene,27-05-2020 10:23:02,20
loadCandidati,27-05-2020 10:23:02,20
findFacultate,27-05-2020 10:23:06,20
loadFacultati,27-05-2020 10:23:06,20
findExamen,27-05-2020 10:23:06,20
loadExamene,27-05-2020 10:23:06,20
loadCandidati,27-05-2020 10:23:06,20
findExamen,27-05-2020 10:23:06,20
loadExamene,27-05-2020 10:23:06,20
loadCandidati,27-05-2020 10:23:06,20
changeFacultate,27-05-2020 10:23:15,20
loadFacultati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findFacultate,27-05-2020 10:23:15,20
loadFacultati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findFacultate,27-05-2020 10:23:15,20
loadFacultati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findExamen,27-05-2020 10:23:15,20
loadExamene,27-05-2020 10:23:15,20
loadCandidati,27-05-2020 10:23:15,20
findFacultate,27-05-2020 10:23:16,20
loadFacultati,27-05-2020 10:23:16,20
findExamen,27-05-2020 10:23:16,20
loadExamene,27-05-2020 10:23:16,20
loadCandidati,27-05-2020 10:23:16,20
findExamen,27-05-2020 10:23:16,20
loadExamene,27-05-2020 10:23:16,20
loadCandidati,27-05-2020 10:23:16,20
findExamen,27-05-2020 10:23:28,20
loadExamene,27-05-2020 10:23:28,20
changeExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:55,20
loadFacultati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:55,20
loadFacultati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findExamen,27-05-2020 10:23:55,20
loadExamene,27-05-2020 10:23:55,20
loadCandidati,27-05-2020 10:23:55,20
findFacultate,27-05-2020 10:23:56,20
loadFacultati,27-05-2020 10:23:56,20
findExamen,27-05-2020 10:23:56,20
loadExamene,27-05-2020 10:23:56,20
loadCandidati,27-05-2020 10:23:56,20
findExamen,27-05-2020 10:23:56,20
loadExamene,27-05-2020 10:23:56,20
loadCandidati,27-05-2020 10:23:56,20
isCandidat,27-05-2020 10:25:03,19
loadCandidati,27-05-2020 10:25:03,19
findFacultate,27-05-2020 10:25:04,19
loadFacultati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findExamen,27-05-2020 10:25:04,19
loadExamene,27-05-2020 10:25:04,19
loadCandidati,27-05-2020 10:25:04,19
findFacultate,27-05-2020 10:25:04,19
